	Region	1960	1961	1962	1963	1964	1965	1966	1967	1968	1969	1970	1971	1972	1973	1974	1975	1976	1977	1978	1979	1980	1981	1982	1983	1984	1985	1986	1987	1988	1989	1990	1991	1992	1993	1994	1995	1996	1997	1998	1999	2000	2001	2002	2003	2004	2005	2006	2007	2008	2009	2010	2011	2012	2013	2014
0	Maize_Spring_USA_Nebraska	-1.067823363636367	-1.1212274747474562	-0.703931585858574	-1.0397556969696926	-1.3441998080808104	-0.45620391919189984	0.0552319696969823	-0.43749214141413617	-0.5536562525252542	0.5853796363636565	-0.660464474747462	-0.21178858585857974	0.8644873030303026	0.12072319191921288	-1.5016809191919052	-0.6764450303030234	-0.7926091414141414	-0.030133252525231136	0.7323426363636516	0.7416985252525325	-1.257265585858585	0.5093703030303249	0.07940619191920728	-0.8526379191919107	0.2236379696969717	0.8605938585858812	0.7444297474747632	0.8165456363636459	0.26106152525252746	-0.04338258585856103	0.27977330303031955	0.10084919191920161	0.4867650808080839	-1.5749590303030336	0.505476858585876	-1.3679672525252409	0.5241886363636414	-0.28233547474747844	0.4173804141414319	-0.07534369696968568	-1.0073878080808027	0.1944080808080777	-1.1141960303030114	-0.10068014141412895	1.0383557474747533	0.16907163636363443	-0.07261247474745502	0.31330341414142815	0.385419303030309	1.2734151919191916	0.3413710808081021	-0.1513530303030155	-1.397197141414134	0.18115874747474692	0.6925946363636584
1	Maize_Spring_USA_Iowa	-0.283323363636367	0.35363252525254385	0.3316084141414253	0.40372430303030793	0.13066019191918965	0.2969160808080993	0.6200719696969816	0.4725278585858641	0.6387837474747462	0.8991796363636562	-0.03286447474746179	0.8551314141414199	1.6176073030303026	0.9366031919192119	-0.874080919191905	-0.36264503030302375	-0.41604914141414184	-0.8460132525252311	0.8578626363636506	1.4948185252525326	0.3117344141414149	1.136970303030325	0.7070061919192074	-1.4802379191919108	-0.0274020303030289	0.7350738585858823	1.1837497474747636	0.753785636363645	-2.2493384747474723	-0.2316625858585617	0.1542533030303206	-0.5267508080807985	1.239885080808083	-3.0811990303030337	1.321356858585876	-0.6148472525252417	0.2103886363636409	0.0942245252525229	0.4173804141414319	0.5522563030303136	0.12229219191919682	0.13164808080807866	1.0824039696969887	0.5896798585858711	1.9797557474747531	1.3615116363636357	0.8060275252525457	1.0036634141414282	0.8874993030303102	1.3989351919191915	0.27861108080810126	0.6017669696969836	-1.7109971414141345	-0.1326412525252536	0.6298346363636576
2	Maize_Spring_USA_Illinois	-0.0009033636363664499	0.573292525252544	0.8336884141414256	0.8430443030303074	0.2875601919191899	1.0500360808081002	0.18075196969698126	1.4453078585858643	0.45050374747474553	1.087459636363656	-0.7859844747474618	1.1061714141414205	1.2410473030303022	0.6855631919192131	-0.748560919191906	1.269114969696977	0.5881108585858579	0.3464267474747693	0.6068226363636517	1.4948185252525326	-0.7551855858585848	1.199730303030326	1.3973661919192075	-1.9823179191919102	0.09811796969697095	1.2999138585858816	1.1837497474747636	0.8793056363636449	-2.9396984747474724	0.08213741414143794	0.21701330303031963	-1.1543508080807987	1.3654050808080829	0.05680096969696535	1.5723968585858774	-1.242447252525241	0.08486863636364106	-0.4706154747474791	0.16634041414143397	-0.012583696969684866	0.5616121919191972	0.5082080808080782	-0.674876030303011	1.0289998585858697	1.9169957474747523	-0.5212883636363639	0.6177475252525451	1.2547034141414262	1.3895793030303096	0.9596151919191911	-0.22346891919189815	-0.33963303030301617	-3.719317141414134	0.7459987474747471	2.0105546363636577
3	Maize_Spring_USA_Indiana	-0.0009033636363664499	0.2594925252525435	0.6454084141414249	0.8430443030303074	-0.2145198080808104	1.0500360808081002	0.0552319696969823	0.31562785858586384	0.32498374747474656	0.9619396363636561	-0.660464474747462	0.79237141414142	0.8644873030303026	0.6228031919192123	-1.3134009191919054	0.13943496969697655	0.7763908585858585	0.15814674747476865	0.4185426363636511	0.5534185252525328	-0.566905585858585	0.07005030303032544	1.0835661919192079	-2.3588779191919107	0.28639796969697073	0.5467938585858816	0.36786974747476364	1.0675856363636456	-2.312098474747472	0.7097374141414381	0.3425333030303186	-2.0957508080807985	1.239885080808083	0.1823209696969652	0.8192768585858765	-1.242447252525241	-0.7310113636363598	-0.9099354747474777	-0.08469958585856752	-0.5146636969696861	0.24781219191919668	0.7592480808080797	-1.55351603030301	-0.10068014141412895	1.1638757474747532	0.16907163636363443	0.2411875252525455	-0.06325658585857319	0.19713930303031013	0.7713351919191922	-0.22346891919189815	-1.0299930303030163	-4.095877141414134	0.6832387474747481	1.2574346363636586
4	Maize_Spring_USA_Minnesota	-0.8795433636363668	-0.3367274747474571	-0.7666915858585748	-0.28663569696969216	-1.0931598080808103	-1.0210439191919	-0.1958080303030183	-0.563012141414136	-0.05157625252525477	0.14605963636365615	-0.09562447474746172	-0.3373085858585796	0.17412730303030255	0.05796319191921295	-2.0037609191919055	-1.6178450303030232	-2.4243691414141413	0.03262674747476879	0.16750263636365137	-0.19970147474746724	-0.504145585858585	0.1955703030303253	0.26768619191920795	-1.6685179191919106	-0.3412020303030294	0.04471385858588128	0.36786974747476364	0.5655056363636453	-2.8769384747474724	0.2076574141414378	0.028733303030319846	-0.3384708080807979	-0.8311949191919163	-3.708799030303034	0.6937568585858767	-0.8658872525252423	-0.6054913636363599	-0.28233547474747844	0.9194604141414331	0.6150163030303144	0.18505219191919586	-0.872511919191922	0.7058439696969891	-0.10068014141412895	0.599035747474753	1.4242716363636347	0.4922275252525452	-0.5653365858585726	0.3226593030303082	0.9596151919191911	1.0317310808081022	-0.465153030303016	0.04628285858586523	-0.44644125252525235	-0.7508853636363408
5	Maize_Spring_USA_Ohio	-0.0009033636363664499	0.2594925252525435	0.26884841414142535	0.2782043030303081	-0.6538398080808108	-0.20516391919190013	0.306271969696982	-0.12369214141413565	0.19946374747474582	0.14605963636365615	-0.4721844747474613	0.16477141414141983	0.11136730303030173	-0.757916808080787	-1.1878809191919055	-0.17436503030302308	0.33707085858585906	0.3464267474747693	0.2302626363636513	0.7416985252525325	0.5000144141414156	-0.6830696969696746	0.330446191919207	-1.9195579191919103	0.34915796969697155	0.7978338585858813	0.7444297474747632	0.12618563636364577	-2.1865784747474724	-0.2944225858585625	-0.15954669696967905	-1.844710808080798	0.9888450808080851	-1.198399030303034	0.505476858585876	-0.7403672525252407	-1.484131363636359	-0.1568154747474786	0.16634041414143397	-0.8912236969696847	0.3105721919191957	-0.37043191919192076	-3.561836030303011	0.5269198585858721	0.5362757474747539	-0.5212883636363639	0.36670752525254535	-0.3142965858585729	-1.6229006969696904	0.7713351919191922	-0.03518891919189748	-0.5906730303030159	-2.777917141414134	0.49495874747474744	0.5043146363636595
6	Maize_Spring_China_Jilin	-3.2591833636363665	-3.003747474747456	-3.2565115858585747	-3.3381756969696923	-3.3611398080808104	-3.5275039191918998	-3.413368030303018	-3.397132141414136	-3.5883962525252544	-3.946160363636344	-3.4807244747474617	-3.4425885858585796	-3.989452696969698	-3.363016808080787	-3.2244809191919055	-3.164145030303023	-3.4246091414141415	-3.851173252525231	-3.272737363636349	-3.132101474747467	-3.577365585858585	-3.3077296969696746	-3.1523938080807925	-1.4532579191919108	-1.104422030303029	-2.450686141414119	-2.1809502525252364	-1.6016143636363545	-1.2839784747474727	-2.6881425858585617	-0.8605066969696802	-1.7292708080807984	-2.047634919191916	-1.5075990303030338	-1.3641631414141235	-2.027027252525242	-1.38399136363636	-3.431375474747477	-0.7337795858585681	-1.6737736969696844	-4.395057808080804	-3.940621919191921	-3.1773260303030106	-3.115270141414129	-3.141604252525247	-3.0073583636363654	-2.5405824747474544	-3.4206965858585727	-2.7170406969696907	-3.8399748080808083	-3.499248919191899	-2.7301830303030163	-2.4573871414141344	-2.4925812525252526	
7	Maize_Spring_China_Liaoning	-3.246683363636367	-2.8668474747474564	-2.8752115858585743	-2.7715756969696925	-2.7759398080808104	-2.6764039191919	-2.775468030303018	-2.713932141414136	-2.943696252525254	-3.1421603636363438	-2.582024474747462	-2.84298858585858	-3.2914526969696976	-2.8629168080807874	-2.3229809191919055	-2.2356450303030235	-2.2188091414141415	-2.631473252525231	-2.300537363636349	-1.959701474747467	-1.9773655858585855	-2.1174296969696744	-1.9952938080807927	-0.899057919191911	-1.2432220303030288	-3.432286141414118	-2.463150252525236	-2.3980143636363547	-2.2783784747474725	-3.945642585858562	-1.9087066969696798	-1.8779708080807982	-1.8215349191919161	-1.3253990303030339	-3.7669631414141236	-2.899427252525242	-2.3014913636363596	-4.319465474747478	-1.839919585858567	-2.925773696969685	-5.040977808080804	-3.8061719191919208	-3.154186030303011	-2.941190141414129	-2.626614252525248	-3.1612383636363646	-3.5029924747474546	-3.885146585858573	-3.53643069696969	-5.057104808080809	-4.579898919191898	-3.8203330303030167	-3.858207141414135	-3.4640812525252525	
8	Maize_Spring_China_Heilongjiang	-1.5357833636363667	-3.3182474747474564	-3.185111585858574	-3.2285756969696924	-3.4398398080808104	-3.4653039191919	-3.086368030303018	-2.850932141414136	-3.211696252525254	-3.932060363636344	-3.0566244747474616	-2.9928885858585796	-3.7199526969696977	-3.268516808080787	-3.2477809191919054	-3.1888450303030234	-3.8752091414141416	-4.084573252525232	-3.243937363636349	-3.512601474747467	-3.829165585858585	-3.908429696969675	-4.4183938080807925	-4.116857919191911	-3.712922030303029	-4.560786141414118	-3.5469502525252365	-4.134514363636354	-4.276278474747473	-4.544042585858562	-3.1040066969696802	-3.3518708080807977	-3.1712349191919156	-2.718199030303034	-2.3816631414141236	-3.3053272525252417	-3.0256913636363594	-3.9851554747474776	-3.859319585858567	-4.166853696969685	-4.5249878080808035	-5.188761919191921	-4.463806030303012	-5.2179701414141295	-5.069184252525247	-4.7986483636363655	-5.0223024747474545	-6.015126585858573	-4.77481069696969	-5.172264808080809	-4.755818919191898	-4.360063030303016	-4.745327141414134	-4.520881252525252	
9	Maize_Summer_China_Hebei	-3.250983363636367	-3.2652474747474565	-3.3705115858585746	-3.6574756969696924	-3.5022398080808106	-3.5243039191919	-3.058668030303018	-3.2516321414141363	-3.442196252525254	-3.5850603636363436	-3.308224474747462	-3.32088858585858	-3.7945526969696974	-3.585016808080787	-3.2425809191919055	-3.7905450303030235	-3.8511091414141414	-4.327073252525231	-4.04983736363635	-3.752801474747467	-3.7596655858585852	-3.8748296969696745	-3.3273938080807928	-3.4906579191919107	-3.5333220303030286	-3.2920861414141185	-3.6763502525252365	-3.793814363636354	-3.7409784747474726	-3.761542585858562	-3.6904066969696796	-3.461870808080798	-3.786834919191916	-3.5681990303030338	-3.1544631414141238	-3.1686272525252415	-3.822901363636359	-4.4052254747474775	-4.082879585858567	-4.714453696969685	-4.902837808080803	-4.865801919191921	-5.132006030303011	-4.9500501414141285	-4.9793142525252465	-5.037048363636365	-4.794762474747455	-4.761446585858573	-4.7683106969696905	-4.994564808080809	-5.062078919191898	-4.791903030303017	-4.899367141414134	-4.944281252525252	
